page_name,Link,Record Count
ABOUT YOU,https://www.facebook.com/ads/library/?id=1254842626111712,520
Zalando,https://www.facebook.com/ads/library/?id=1554759622269500,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=1284647263817267,520
Zalando,https://www.facebook.com/ads/library/?id=1252097690066226,520
Modivo,https://www.facebook.com/ads/library/?id=1844418129535629,520
Zalando,https://www.facebook.com/ads/library/?id=1439066857231242,520
Modivo,https://www.facebook.com/ads/library/?id=954714860883925,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=936136765976301,520
Ballzy Lietuva,https://www.facebook.com/ads/library/?id=1624230318725491,520
Modivo,https://www.facebook.com/ads/library/?id=2135209417213339,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=1256001780004073,520
Modivo,https://www.facebook.com/ads/library/?id=968036615592967,520
Modivo,https://www.facebook.com/ads/library/?id=1563417722336494,520
Zalando,https://www.facebook.com/ads/library/?id=1225041469611585,520
Boozt.com,https://www.facebook.com/ads/library/?id=2398060847326412,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=1658185165629970,520
Modivo,https://www.facebook.com/ads/library/?id=1303279481723576,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=1448884186769436,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=1404113184217538,520
Modivo,https://www.facebook.com/ads/library/?id=1097204022605333,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=2115338922560774,520
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1895475771099003,520
Zalando,https://www.facebook.com/ads/library/?id=2003031470273901,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=928220956588975,494
Boozt.com,https://www.facebook.com/ads/library/?id=965433636062922,494
Zalando,https://www.facebook.com/ads/library/?id=1361378198555621,494
ABOUT YOU,https://www.facebook.com/ads/library/?id=1361900768959156,494
SNYKS,https://www.facebook.com/ads/library/?id=2076199449808704,494
Modivo,https://www.facebook.com/ads/library/?id=827292403754980,494
ABOUT YOU,https://www.facebook.com/ads/library/?id=1613434543128508,494
Zalando,https://www.facebook.com/ads/library/?id=897232319653171,494
Modivo,https://www.facebook.com/ads/library/?id=35410353111885020,494
ABOUT YOU,https://www.facebook.com/ads/library/?id=1198036722156039,494
Ballzy Lietuva,https://www.facebook.com/ads/library/?id=1603357784290005,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1481833486643637,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=905735998613019,494
Modivo,https://www.facebook.com/ads/library/?id=2443724229396077,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=889671240809055,494
Lounge by Zalando,https://www.facebook.com/ads/library/?id=807421988858558,494
Boozt.com,https://www.facebook.com/ads/library/?id=4574748146082028,494
Modivo,https://www.facebook.com/ads/library/?id=994678342991292,494
Modivo,https://www.facebook.com/ads/library/?id=1715267786555395,494
Zalando,https://www.facebook.com/ads/library/?id=1956959232367163,494
Zalando,https://www.facebook.com/ads/library/?id=25480038435001930,494
Modivo,https://www.facebook.com/ads/library/?id=1308155954652235,494
ABOUT YOU,https://www.facebook.com/ads/library/?id=1616809629443136,494
